term1,term2,clust
873,3261,1
873,3344,1
873,3347,1
873,3451,1
873,3462,1
873,3500,4
873,3681,3
873,3762,1
873,3867,1
873,3914,1
873,4357,1
873,4633,1
873,4642,1
873,4804,2
873,5067,1
873,5419,3
873,5523,1
873,5944,1
873,6602,1
873,6655,1
873,6666,1
873,6806,1
873,6837,1
873,6919,1
873,6995,1
873,7006,1
873,7128,3
873,7136,6
873,7233,2
873,7980,6
873,8069,4
873,8272,1
873,8658,4
873,8707,1
873,9290,1
873,9311,1
873,9322,3
873,9325,2
873,9778,2
873,10144,1
873,10591,2
873,11168,1
873,11300,1
873,11421,1
873,11683,1
873,11838,1
873,11890,1
873,11941,1
873,11977,1
873,12027,1
873,12371,1
873,12623,1
873,12643,1
873,12707,1
873,12790,2
873,13411,1
873,13568,1
873,13569,1
873,13752,1
873,14368,1
873,14541,1
926,1032,1
926,1460,1
926,3681,1
926,4165,1
926,4262,1
926,4411,1
926,4633,1
926,5295,1
926,6100,1
926,6106,1
926,6540,1
926,6837,1
926,7128,1
926,7233,1
926,7980,3
926,9325,1
926,9778,1
926,10008,1
926,10591,1
926,11300,1
926,11562,1
926,11932,1
926,12996,1
926,13258,2
926,13448,1
926,13569,1
926,13752,1
929,1372,1
929,1460,1
929,1807,1
929,2044,1
929,2164,1
929,2252,1
929,2254,1
929,2924,1
929,3344,1
929,3500,2
929,3681,1
929,4633,1
929,5065,1
929,5117,1
929,5295,1
929,5419,2
929,5653,1
929,6806,1
929,7128,1
929,7135,1
929,7980,8
929,8658,2
929,9178,2
929,9325,2
929,9778,1
929,10144,2
929,10591,4
929,11300,1
929,11385,1
929,11440,1
929,11890,1
929,12053,1
929,12167,1
929,12694,1
929,13411,3
929,13568,1
929,13752,1
939,1205,3
939,1433,3
939,1437,2
939,1441,1
939,1460,9
939,1593,2
939,1683,3
939,1807,3
939,1887,2
939,2010,8
939,2042,1
939,2044,1
939,2138,1
939,2164,7
939,2252,1
939,2254,2
939,2368,2
939,2495,1
939,2606,1
939,2618,1
939,2623,1
939,2653,1
939,2895,1
939,2916,3
939,2923,1
939,3018,1
939,3038,6
939,3161,1
939,3261,2
939,3310,1
939,3344,1
939,3347,1
939,3363,1
939,3462,6
939,3479,1
939,3500,18
939,3535,2
939,3681,7
939,3709,1
939,3756,1
939,3762,7
939,3867,2
939,3924,1
939,3965,1
939,3984,4
939,4165,1
939,4350,2
939,4357,2
939,4378,3
939,4426,1
939,4589,1
939,4696,1
939,4718,1
939,4741,1
939,4804,2
939,4846,2
939,4907,3
939,4910,1
939,4913,1
939,4939,1
939,5027,1
939,5111,1
939,5116,2
939,5124,1
939,5419,1
939,5496,10
939,5669,1
939,5864,1
939,6066,3
939,6106,1
939,6413,2
939,6540,2
939,6602,1
939,6634,3
939,6655,3
939,6666,3
939,6806,3
939,6837,5
939,6919,7
939,6995,1
939,7006,1
939,7128,3
939,7135,2
939,7136,2
939,7233,3
939,7422,2
939,7975,1
939,7980,16
939,8069,11
939,8272,2
939,8443,1
939,8658,9
939,8707,4
939,8764,1
939,8854,3
939,9233,3
939,9290,3
939,9311,1
939,9322,2
939,9325,2
939,9667,1
939,9778,5
939,9867,2
939,10077,2
939,10144,8
939,10591,7
939,10675,2
939,10847,1
939,10987,1
939,11148,2
939,11300,1
939,11316,1
939,11385,2
939,11421,1
939,11440,1
939,11458,1
939,11594,3
939,11683,3
939,11760,1
939,11838,1
939,11877,1
939,11890,2
939,11941,5
939,11982,1
939,12027,3
939,12053,2
939,12177,1
939,12371,1
939,12623,1
939,12643,8
939,12694,1
939,12707,3
939,13029,2
939,13140,1
939,13286,1
939,13317,1
939,13411,9
939,13437,1
939,13441,3
939,13448,10
939,13568,4
939,13569,9
939,13718,1
939,13752,4
939,13865,1
939,13869,1
939,13957,1
939,14055,4
939,14081,3
939,14187,2
939,14368,4
939,14541,2
939,14601,1
939,14851,3
1028,1032,1
1028,2164,3
1028,2296,1
1028,2923,1
1028,3261,1
1028,3406,1
1028,3500,4
1028,3709,1
1028,4400,1
1028,4572,1
1028,5117,1
1028,5419,1
1028,5567,1
1028,5574,1
1028,5651,1
1028,5861,1
1028,6565,1
1028,7135,1
1028,7198,1
1028,7233,1
1028,7980,1
1028,8658,2
1028,8707,1
1028,9233,3
1028,9290,2
1028,9304,1
1028,9322,1
1028,9325,1
1028,9550,1
1028,10591,1
1028,11300,1
1028,11440,1
1028,11497,2
1028,12027,1
1028,12126,2
1028,13411,1
1028,13869,1
1028,13991,1
1032,2916,1
1032,2920,1
1032,3315,1
1032,3344,1
1032,3500,4
1032,5067,1
1032,5099,3
1032,5117,1
1032,5419,1
1032,5653,2
1032,6100,1
1032,6593,1
1032,6616,1
1032,6837,1
1032,7128,1
1032,9178,1
1032,9233,1
1032,9325,1
1032,9550,1
1032,9778,1
1032,11300,1
1032,11562,1
1032,12173,1
1032,13448,1
1032,13508,2
1032,13752,1
1032,13980,1
1032,13991,2
1032,14601,1
1079,1372,1
1079,3681,3
1079,3867,1
1079,3914,2
1079,3924,1
1079,4357,2
1079,4426,1
1079,4718,1
1079,5419,1
1079,6655,1
1079,6666,1
1079,6806,1
1079,6837,1
1079,7980,2
1079,8332,1
1079,8432,3
1079,11300,1
1079,11750,1
1079,13140,1
1079,13326,1
1079,13411,2
1079,13441,1
1079,13568,1
1079,13569,2
1079,14541,7
1079,14601,1
1087,1250,1
1087,1437,1
1087,1593,3
1087,2254,1
1087,3018,1
1087,3500,1
1087,5419,1
1087,7128,2
1087,7135,3
1087,7136,1
1087,7824,1
1087,8069,2
1087,8658,1
1087,9290,1
1087,10675,2
1087,11440,1
1087,11932,3
1087,11998,1
1087,12027,9
1087,12173,1
1087,12209,2
1087,13568,1
1087,13957,1
1205,1437,1
1205,1460,1
1205,1593,1
1205,2010,1
1205,2164,1
1205,2368,2
1205,2495,1
1205,2623,1
1205,3500,3
1205,3709,1
1205,3924,1
1205,4633,1
1205,4804,1
1205,4907,1
1205,5117,1
1205,5419,1
1205,5496,2
1205,6014,2
1205,6066,1
1205,6106,1
1205,6655,1
1205,6837,1
1205,7135,1
1205,7422,1
1205,7975,1
1205,7980,3
1205,8272,1
1205,8658,2
1205,9322,1
1205,9550,1
1205,10144,2
1205,10987,1
1205,11300,1
1205,11562,1
1205,11750,2
1205,11941,2
1205,11982,1
1205,12643,3
1205,12707,2
1205,13029,1
1205,13411,1
1205,13448,2
1205,13508,1
1205,14081,1
1224,1250,3
1224,2010,1
1224,2867,1
1224,3462,1
1224,3500,1
1224,3593,1
1224,4357,1
1224,5419,1
1224,6655,1
1224,7006,1
1224,7128,1
1224,8069,2
1224,8658,1
1224,9195,1
1224,9290,1
1224,9304,1
1224,9311,2
1224,9550,1
1224,11300,1
1224,11421,1
1224,11838,2
1224,12209,1
1224,12996,1
1224,13116,2
1224,13326,1
1224,13441,1
1224,13508,1
1224,13752,1
1224,13809,1
1224,14055,1
1250,1593,1
1250,2010,1
1250,2653,1
1250,3462,2
1250,3500,1
1250,3535,1
1250,4804,1
1250,6014,1
1250,7006,1
1250,7980,1
1250,8069,2
1250,8658,1
1250,9550,1
1250,10675,1
1250,11300,1
1250,11421,1
1250,11683,1
1250,11838,1
1250,12027,1
1250,12707,1
1250,12996,1
1250,13116,1
1250,13326,1
1250,13441,1
1250,13448,1
1250,13508,1
1250,14055,1
1372,4262,1
1372,4718,1
1372,5574,1
1372,5669,1
1372,5771,1
1372,6655,3
1372,7980,2
1372,8443,1
1372,8658,7
1372,9322,1
1372,9778,4
1372,10144,4
1372,10966,1
1372,11300,1
1372,11750,1
1372,11890,1
1372,12173,1
1372,12371,1
1372,12643,1
1372,13411,1
1372,13448,2
1372,13957,1
1433,1460,1
1433,4804,1
1433,4907,1
1433,5027,2
1433,6066,1
1433,7422,1
1433,7975,1
1433,7980,4
1433,8272,1
1433,8707,1
1433,9325,1
1433,10675,1
1433,11440,1
1433,11760,1
1433,12177,1
1433,13448,1
1433,13569,1
1433,14081,1
1437,1441,1
1437,1460,3
1437,1593,3
1437,1887,1
1437,2138,4
1437,2164,3
1437,2252,1
1437,2495,1
1437,3363,1
1437,3500,5
1437,3681,2
1437,3709,1
1437,3762,3
1437,4633,1
1437,4846,4
1437,5419,1
1437,5496,2
1437,5523,1
1437,6066,1
1437,6100,1
1437,6540,1
1437,6655,1
1437,6806,2
1437,6837,1
1437,6919,2
1437,6995,2
1437,7128,2
